,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
153,Apple MacBook Air M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,36500000,APPLE,16,13.3,2560x1600,,,,5,1.29,MACOS,512
154,Laptop HP Envy X360 15M-ES1013,19990000,HP,8,15.6,1920x1080,INTEL,51.0,3,5,1.77,WINDOW,256
155,Laptop Lenovo Thinkbook 15 G2 ITL,17590000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.7,,512
156,Surface Laptop Go Core i5 / 8GB / 256 GB / 12.4 inch Nhập Khẩu Chính Hãng,21190000,MICROSOFT,8,12.4,1536x1024,INTEL,,,5,,WINDOW,256
157,Laptop Gaming Acer Nitro 5 AN515-45-R9SC NH.QBRSV.001,31590000,ACER,8,15.6,1080x1920,INTEL,57.0,4,5,2.2,WINDOW,512
158,Laptop Dell Latitude 3520 70251603,12340000,DELL,4,15.6,1366x768,INTEL,41.0,3,5,1.79,FREE,256
159,Laptop Lenovo Thinkpad P14S G2 T 20VX008GVN,33490000,LENOVO,8,14.0,1920x1080,INTEL,50.0,,5,1.502,WINDOW,512
160,Laptop LG Gram 2021 17Z90P-G.AH78A5 17 inch,44590000,LG,16,17.0,2560x1600,INTEL,80.0,,5,1.35,WINDOW,1024
161,Laptop Dell Vostro 3400 70253899,12050000,DELL,8,14.0,1920x1080,INTEL,42.0,3,5,1.64,WINDOW,256
162,Laptop ASUS VivoBook A515EP-BQ498T,16790000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.7,WINDOW,512
163,Laptop Lenovo Yoga Slim 7I 14ITL5,21990000,LENOVO,8,14.0,1080x1920,INTEL,60.7,,5,1.36,WINDOW,512
164,Laptop ASUS Gaming ROG Strix G512,22090000,ASUS,8,15.6,1920x1080,INTEL,,,5,2.39,WINDOW,
165,Laptop ASUS Gaming ROG Zephyrus G14 GA402RJ-L8030W,47990000,ASUS,16,14.0,2560x1600,INTEL,76.0,4,5,1.72,WINDOW,1024
166,Laptop Dell Gaming G5 5510,22990000,DELL,8,15.6,1920x1080,INTEL,56.0,3,5,2.65,WINDOW,512
167,Laptop MSI Gaming GF63 11UC-441VN,21490000,MSI,8,15.6,1920x1080,INTEL,53.0,3,5,2.6,WINDOW,512
168,Laptop Gigabyte G5 KC-5S11130SB,25990000,GIGABYTE,16,15.6,1920x1080,INTEL,41.0,4,5,2.2,WINDOW,512
169,Laptop HP 15-DY2093/2193DX 405F7UA,14990000,HP,8,15.6,1080x1920,INTEL,41.0,3,4,1.69,,256
170,Laptop Lenovo Legion S7 15ACH6 82K800DPVN,37490000,LENOVO,16,15.6,2560x1440,INTEL,71.0,4,5,1.9,WINDOW,1024
171,Apple Mac mini M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam,25000000,APPLE,16,,,,,,5,1.2,MACOS,256
172,Laptop ASUS VivoBook X515EP-EJ268T,14990000,ASUS,8,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
173,Laptop MSi Gaming GF63 11UC 443VN,18490000,MSI,8,15.6,1920x1080,INTEL,90.0,,5,2.3,WINDOW,512
174,Laptop Lenovo gaming Legion 5 15ITH6H 82JH002VVN,34990000,LENOVO,16,15.6,1920x1080,INTEL,80.0,,,2.4,WINDOW,512
175,Macbook Pro  M1 Pro 16 10 CPU - 16 GPU 16GB 1TB 2021 | Chính hãng Apple Việt Nam,63990000,APPLE,16,16.2,3456x2234,INTEL,,,5,2.1,MACOS,1024
176,Laptop HP Pavilion X360 14-DY0168TU 4Y1D3PA,21990000,HP,8,14.0,1920x1080,INTEL,43.0,3,5,1.543,WINDOW,512
177,Laptop MSI Modern 14 B11SBU-668VN,17990000,MSI,8,14.0,1920x1080,INTEL,52.0,3,5,1.3,WINDOW,512
178,Laptop HP Evy 13 BA1047 290F5UA Nhập Khẩu chính hãng,17490000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,,WINDOW,256
